"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0032501","multicellular organismal process",1.34991121548608e-30,5241,927,459
"GO:BP","GO:0023052","signaling",1.4121503740544e-24,4744,927,410
"GO:BP","GO:0007154","cell communication",1.4121503740544e-24,4761,927,411
"GO:BP","GO:0050896","response to stimulus",2.55492897570732e-23,6485,927,509
"GO:BP","GO:0051239","regulation of multicellular organismal process",4.8645603290103e-22,2261,927,237
"GO:BP","GO:0032502","developmental process",4.8645603290103e-22,5002,927,417
"GO:BP","GO:0007275","multicellular organism development",2.04081898084429e-21,3716,927,334
"GO:BP","GO:0048856","anatomical structure development",2.04081898084429e-21,4584,927,389
"GO:BP","GO:0007165","signal transduction",2.75957653930654e-21,4385,927,376
"GO:BP","GO:0048869","cellular developmental process",3.81431913938882e-21,3338,927,308
"GO:BP","GO:0030154","cell differentiation",3.81431913938882e-21,3337,927,308
"GO:BP","GO:0048731","system development",4.14206959592565e-19,3192,927,292
"GO:BP","GO:0051716","cellular response to stimulus",1.10362517465513e-18,5508,927,435
"GO:BP","GO:0009653","anatomical structure morphogenesis",5.95068830781853e-18,2138,927,216
"GO:BP","GO:0003008","system process",5.39838502591384e-17,1352,927,155
"GO:BP","GO:0051240","positive regulation of multicellular organismal process",5.51392318655756e-16,1257,927,145
"GO:BP","GO:0050793","regulation of developmental process",6.68605644586332e-16,1944,927,196
"GO:BP","GO:0048513","animal organ development",2.32719064393556e-15,2309,927,220
"GO:BP","GO:0065007","biological regulation",3.30791048139786e-15,9221,927,627
"GO:BP","GO:0051094","positive regulation of developmental process",5.14732342926376e-15,1038,927,125
"GO:BP","GO:0016477","cell migration",9.61336977301333e-15,1237,927,140
"GO:BP","GO:0040011","locomotion",1.52597165769441e-14,979,927,119
"GO:BP","GO:0065008","regulation of biological quality",4.53036946048073e-14,2286,927,214
"GO:BP","GO:0050789","regulation of biological process",4.7768253647071e-14,8933,927,607
"GO:BP","GO:0009888","tissue development",1.63745785768721e-13,1536,927,159
"GO:BP","GO:0007155","cell adhesion",3.37382369398668e-13,1137,927,128
"GO:BP","GO:0030334","regulation of cell migration",4.35265997930078e-13,792,927,100
"GO:BP","GO:2000026","regulation of multicellular organismal development",4.59910109027086e-13,1104,927,125
"GO:BP","GO:0048870","cell motility",1.56546121138944e-12,1414,927,147
"GO:BP","GO:0007166","cell surface receptor signaling pathway",1.72394429630085e-12,2163,927,200
"GO:BP","GO:0045595","regulation of cell differentiation",3.20256464208858e-12,1213,927,131
"GO:BP","GO:0044057","regulation of system process",3.36178761803376e-12,398,927,63
"GO:BP","GO:2000145","regulation of cell motility",3.36178761803376e-12,832,927,101
"GO:BP","GO:0007267","cell-cell signaling",5.77872729995639e-12,914,927,107
"GO:BP","GO:0050794","regulation of cellular process",1.45215189685173e-11,8616,927,579
"GO:BP","GO:0010646","regulation of cell communication",1.51403114664233e-11,2847,927,242
"GO:BP","GO:0045597","positive regulation of cell differentiation",2.11776795073752e-11,675,927,86
"GO:BP","GO:0040012","regulation of locomotion",2.41665372356766e-11,860,927,101
"GO:BP","GO:0007399","nervous system development",3.08568040372155e-11,2070,927,189
"GO:BP","GO:0141124","intracellular signaling cassette",4.79679477934639e-11,1550,927,152
"GO:BP","GO:0007167","enzyme-linked receptor protein signaling pathway",4.98263265201935e-11,821,927,97
"GO:BP","GO:0023051","regulation of signaling",7.89530468689248e-11,2847,927,239
"GO:BP","GO:0001944","vasculature development",2.12991746143126e-10,633,927,80
"GO:BP","GO:0009719","response to endogenous stimulus",2.17820530826635e-10,1195,927,124
"GO:BP","GO:0008150","biological_process",2.33483242403145e-10,13360,927,809
"GO:BP","GO:0071495","cellular response to endogenous stimulus",2.33483242403145e-10,1024,927,111
"GO:BP","GO:0072359","circulatory system development",3.12867084979152e-10,951,927,105
"GO:BP","GO:0003013","circulatory system process",7.92217710951016e-10,452,927,63
"GO:BP","GO:0048646","anatomical structure formation involved in morphogenesis",1.23429461662604e-09,947,927,103
"GO:BP","GO:0048468","cell development",1.80383601206987e-09,2185,927,190
"GO:BP","GO:0003012","muscle system process",1.83105909133701e-09,330,927,51
"GO:BP","GO:0048518","positive regulation of biological process",1.86323024503923e-09,4913,927,360
"GO:BP","GO:0048514","blood vessel morphogenesis",2.2833777677483e-09,522,927,68
"GO:BP","GO:0001568","blood vessel development",2.2833777677483e-09,605,927,75
"GO:BP","GO:0008015","blood circulation",4.08037050663258e-09,381,927,55
"GO:BP","GO:0035295","tube development",4.12470927224128e-09,903,927,98
"GO:BP","GO:0009887","animal organ morphogenesis",5.84726915519087e-09,767,927,87
"GO:BP","GO:0001525","angiogenesis",7.41244886764001e-09,455,927,61
"GO:BP","GO:0042221","response to chemical",7.86630137653306e-09,2671,927,219
